token,class,count
がん,WB_low,0
がんばり,WB_high,1
がんばり,WB_low,0
がんばろう,WB_high,4
がんばろう,WB_low,1
がんばん,WB_high,1
がんばん,WB_low,0
きた,WB_high,3
きた,WB_low,2
きっかけ,WB_high,2
きっかけ,WB_low,4
きつい,WB_high,1
きつい,WB_low,4
きみ,WB_high,1
きみ,WB_low,0
きゅうり,WB_high,1
きゅうり,WB_low,0
きょう,WB_high,1
きょう,WB_low,1
きょうか,WB_high,1
きょうか,WB_low,0
きょうは,WB_high,2
きょうは,WB_low,0
きれい,WB_high,1
きれい,WB_low,1
き合い,WB_high,0
き合い,WB_low,1
ぎっくり腰,WB_high,0
ぎっくり腰,WB_low,1
ぎて,WB_high,1
ぎて,WB_low,0
く,WB_high,1
く,WB_low,0
くさ,WB_high,0
くさ,WB_low,1
くさい,WB_high,1
くさい,WB_low,0
くじ運,WB_high,1
くじ運,WB_low,0
くだらない,WB_high,1
くだらない,WB_low,0
くん,WB_high,4
くん,WB_low,1
げ,WB_high,1
げ,WB_low,0
げんなり,WB_high,0
げんなり,WB_low,1
こ,WB_high,2
こ,WB_low,0
こうゆう,WB_high,1
こうゆう,WB_low,0
ここ,WB_high,8
ここ,WB_low,4
こちら,WB_high,5
こちら,WB_low,2
こっち,WB_high,0
こっち,WB_low,2
こと,WB_high,131
こと,WB_low,95
このまま,WB_high,3
このまま,WB_low,4
この方,WB_high,1
この方,WB_low,0
こまめ,WB_high,1
こまめ,WB_low,0
これ,WB_high,18
これ,WB_low,12
これだけ,WB_high,2
これだけ,WB_low,0
ころ,WB_high,2
ころ,WB_low,0
ごと,WB_high,1
ごと,WB_low,1
ごはん,WB_high,11
ごはん,WB_low,2
ごめんね,WB_high,2
ごめんね,WB_low,0
ごろ,WB_high,1
ごろ,WB_low,2
ごろごろ,WB_high,1
ごろごろ,WB_low,0
ご挨拶,WB_high,3
ご挨拶,WB_low,0
ご飯,WB_high,14
ご飯,WB_low,1
ご馳走,WB_high,1
ご馳走,WB_low,0
さ,WB_high,7
さ,WB_low,20
さいこう,WB_high,5
さいこう,WB_low,0
さかな,WB_high,1
さかな,WB_low,0
さくさく,WB_high,1
さくさく,WB_low,0
さく裂,WB_high,0
さく裂,WB_low,1
さして,WB_high,1
さして,WB_low,0
さだ,WB_high,1
さだ,WB_low,0
さっき,WB_high,0
さっき,WB_low,1
さみし,WB_high,1
さみし,WB_low,0
さみしい,WB_high,3
さみしい,WB_low,0
さみしく,WB_high,1
さみしく,WB_low,0
さること,WB_high,1
さること,WB_low,0
さん,WB_high,47
さん,WB_low,11
さんい,WB_high,1
さんい,WB_low,0
さんま,WB_high,0
さんま,WB_low,1
さん同,WB_high,1
さん同,WB_low,0
ざっくばらん,WB_high,1
ざっくばらん,WB_low,0
ざわちん,WB_high,1
ざわちん,WB_low,0
しそう,WB_high,0
しそう,WB_low,1
した,WB_high,3
した,WB_low,2
したこと,WB_high,0
したこと,WB_low,1
しな,WB_high,0
しな,WB_low,1
しない,WB_high,3
しない,WB_low,2
しながら,WB_high,0
しながら,WB_low,2
しょう,WB_high,0
しょう,WB_low,1
しょうが,WB_high,0
しょうが,WB_low,2
しよう,WB_high,1
しよう,WB_low,4
しんど,WB_high,0
しんど,WB_low,1
しんどい,WB_high,1
しんどい,WB_low,19
しんどく,WB_high,0
しんどく,WB_low,1
じまい,WB_high,0
じまい,WB_low,1
じゃなくて,WB_high,1
じゃなくて,WB_low,0
す,WB_high,0
す,WB_low,1
すぎ,WB_high,1
すぎ,WB_low,0
すこし,WB_high,1
すこし,WB_low,0
すごい,WB_high,4
すごい,WB_low,0
すごかっ,WB_high,1
すごかっ,WB_low,0
すごく,WB_high,6
すごく,WB_low,5
すっごく,WB_high,1
すっごく,WB_low,0
すてき,WB_high,1
すてき,WB_low,0
すで,WB_high,0
すで,WB_low,1
すばらしい,WB_high,2
すばらしい,WB_low,0
すべて,WB_high,3
すべて,WB_low,1
すむーず,WB_high,1
すむーず,WB_low,0
すり合わせ,WB_high,1
すり合わせ,WB_low,0
すれ違い,WB_high,0
すれ違い,WB_low,1
せい,WB_high,3
せい,WB_low,5
そう,WB_high,39
そう,WB_low,25
そうだ,WB_high,0
そうだ,WB_low,2
そこ,WB_high,5
そこ,WB_low,3
そのため,WB_high,0
そのため,WB_low,2
そのほか,WB_high,0
そのほか,WB_low,1
その他,WB_high,2
その他,WB_low,0
その後,WB_high,8
その後,WB_low,3
その昔,WB_high,1
その昔,WB_low,0
その間,WB_high,0
その間,WB_low,1
そば,WB_high,1
そば,WB_low,0
そりゃ,WB_high,1
そりゃ,WB_low,1
それ,WB_high,9
それ,WB_low,9
それぞれ,WB_high,7
それぞれ,WB_low,1
それなり,WB_high,0
それなり,WB_low,4
たか,WB_high,0
たか,WB_low,1
たくさん,WB_high,9
たくさん,WB_low,3
たち,WB_high,8
たち,WB_low,1
たな,WB_high,1
たな,WB_low,0
たのしい,WB_high,1
たのしい,WB_low,0
たのしかっ,WB_high,1
たのしかっ,WB_low,0
たのしみ,WB_high,1
たのしみ,WB_low,0
たび,WB_high,1
たび,WB_low,0
たま,WB_high,9
たま,WB_low,0
ため,WB_high,24
ため,WB_low,26
たん,WB_high,2
たん,WB_low,0
たんぱく質,WB_high,0
たんぱく質,WB_low,1
た分,WB_high,1
た分,WB_low,0
だし,WB_high,1
だし,WB_low,0
だらけ,WB_high,0
だらけ,WB_low,2
だる,WB_high,0
だる,WB_low,2
だるい,WB_high,0
だるい,WB_low,2
だるく,WB_high,0
だるく,WB_low,1
だれ,WB_high,0
だれ,WB_low,1
ちく,WB_high,1
ちく,WB_low,0
ちゃきちゃき,WB_high,0
ちゃきちゃき,WB_low,1
ちゃわ,WB_high,0
ちゃわ,WB_low,1
ちゃん,WB_high,3
ちゃん,WB_low,0
ちゃんぽん,WB_high,1
ちゃんぽん,WB_low,0
ち合,WB_high,1
ち合,WB_low,0
っぱなし,WB_high,1
っぱなし,WB_low,0
っぽ,WB_high,0
っぽ,WB_low,1
っぽく,WB_high,1
っぽく,WB_low,0
ついで,WB_high,2
ついで,WB_low,0
つぎ,WB_high,1
つぎ,WB_low,0
つながり,WB_high,1
つながり,WB_low,0
つぶやき,WB_high,0
つぶやき,WB_low,1
つめ,WB_high,0
つめ,WB_low,1
つもり,WB_high,1
つもり,WB_low,3
つらい,WB_high,2
つらい,WB_low,4
つらかっ,WB_high,1
つらかっ,WB_low,1
つらく,WB_high,0
つらく,WB_low,1
づくり,WB_high,0
づくり,WB_low,2
づつ,WB_high,1
づつ,WB_low,0
づらい,WB_high,1
づらい,WB_low,0
てにをは,WB_high,0
てにをは,WB_low,1
てんこ盛り,WB_high,1
てんこ盛り,WB_low,0
では,WB_high,1
では,WB_low,0
でんや,WB_high,1
でんや,WB_low,0
とうきょ,WB_high,1
とうきょ,WB_low,0
とおり,WB_high,1
とおり,WB_low,0
とき,WB_high,5
とき,WB_low,2
ところ,WB_high,11
ところ,WB_low,10
とたん,WB_high,0
とたん,WB_low,1
となり,WB_high,0
となり,WB_low,1
とはいえ,WB_high,0
とはいえ,WB_low,1
とふ,WB_high,0
とふ,WB_low,1
とめどなく,WB_high,0
とめどなく,WB_low,1
とも,WB_high,2
とも,WB_low,0
とりあえず,WB_high,1
とりあえず,WB_low,1
とんでも,WB_high,1
とんでも,WB_low,0
どおり,WB_high,2
どおり,WB_low,1
どこ,WB_high,1
どこ,WB_low,1
どこか,WB_high,0
どこか,WB_low,2
どころ,WB_high,1
どころ,WB_low,0
どちら,WB_high,3
どちら,WB_low,1
どっち,WB_high,1
どっち,WB_low,0
どれ,WB_high,3
どれ,WB_low,2
どんたく,WB_high,1
どんたく,WB_low,0
な,WB_high,1
な,WB_low,1
ない,WB_high,25
ない,WB_low,37
ないか,WB_high,0
ないか,WB_low,1
ないと,WB_high,0
ないと,WB_low,1
ない分,WB_high,1
ない分,WB_low,0
ない所,WB_high,0
ない所,WB_low,1
ない議,WB_high,0
ない議,WB_low,1
なかっ,WB_high,4
なかっ,WB_low,6
なく,WB_high,15
なく,WB_low,20
なけれ,WB_high,0
なけれ,WB_low,1
なさげ,WB_high,1
なさげ,WB_low,0
なし,WB_high,0
なし,WB_low,3
なつかしさ,WB_high,0
なつかしさ,WB_low,1
なに,WB_high,2
なに,WB_low,2
なのか,WB_high,0
なのか,WB_low,3
ならでは,WB_high,1
ならでは,WB_low,0
なるし,WB_high,0
なるし,WB_low,1
なん,WB_high,2
なん,WB_low,2
なんだろう,WB_high,2
なんだろう,WB_low,0
なんでだろう,WB_high,1
なんでだろう,WB_low,0
なんとか,WB_high,1
なんとか,WB_low,1
なんや,WB_high,1
なんや,WB_low,0
にあ,WB_high,1
にあ,WB_low,0
にくい,WB_high,2
にくい,WB_low,1
にくかっ,WB_high,0
にくかっ,WB_low,1
にくく,WB_high,0
にくく,WB_low,1
にくたらしかっ,WB_high,0
にくたらしかっ,WB_low,1
にも,WB_high,1
にも,WB_low,1
の,WB_high,88
の,WB_low,87
のち,WB_high,1
のち,WB_low,1
のど,WB_high,0
のど,WB_low,2
はあと,WB_high,0
はあと,WB_low,1
はし,WB_high,0
はし,WB_low,1
はじまり、,WB_high,1
はじまり、,WB_low,0
はず,WB_high,3
はず,WB_low,4
はと,WB_high,2
はと,WB_low,0
はなし,WB_high,0
はなし,WB_low,1
はやい,WB_high,2
はやい,WB_low,0
はやく,WB_high,0
はやく,WB_low,1
はらいそ,WB_high,1
はらいそ,WB_low,0
はらわた,WB_high,0
はらわた,WB_low,1
はるか,WB_high,0
はるか,WB_low,1
ばる,WB_high,1
ばる,WB_low,0
ぱんぱん,WB_high,0
ぱんぱん,WB_low,1
ひくか,WB_high,0
ひくか,WB_low,1
ひさし,WB_high,1
ひさし,WB_low,0
ひとつ,WB_high,0
ひとつ,WB_low,3
ひととき,WB_high,1
ひととき,WB_low,0
ひとまず,WB_high,1
ひとまず,WB_low,1
ひとり,WB_high,0
ひとり,WB_low,2
ひと安心,WB_high,2
ひと安心,WB_low,0
ひと時,WB_high,1
ひと時,WB_low,0
ひどい,WB_high,2
ひどい,WB_low,1
ひどく,WB_high,0
ひどく,WB_low,1
びっくり,WB_high,1
びっくり,WB_low,1
ふがいなく,WB_high,0
ふがいなく,WB_low,1
ふさわしい,WB_high,0
ふさわしい,WB_low,1
ふつう,WB_high,1
ふつう,WB_low,0
ふり,WB_high,0
ふり,WB_low,1
ふるさと納税,WB_high,1
ふるさと納税,WB_low,0
ぶっちゃけ,WB_high,1
ぶっちゃけ,WB_low,0
ぶり,WB_high,12
ぶり,WB_low,5
へとへと,WB_high,0
へとへと,WB_low,1
へん,WB_high,0
へん,WB_low,1
ほう,WB_high,18
ほう,WB_low,1
ほか,WB_high,1
ほか,WB_low,1
ほしい,WB_high,10
ほしい,WB_low,7
ほしかっ,WB_high,1
ほしかっ,WB_low,0
ほっと,WB_high,1
ほっと,WB_low,1
ほりえもん,WB_high,1
ほりえもん,WB_low,0
ほん,WB_high,0
ほん,WB_low,1
ほんとうに,WB_high,1
ほんとうに,WB_low,0
ほんま,WB_high,0
ほんま,WB_low,3
ぼろぼろ,WB_high,0
ぼろぼろ,WB_low,1
まくり,WB_high,0
まくり,WB_low,1
まし,WB_high,0
まし,WB_low,1
まずい,WB_high,0
まずい,WB_low,4
まちまち,WB_high,1
まちまち,WB_low,0
まっしょ,WB_high,0
まっしょ,WB_low,1
まとも,WB_high,0
まとも,WB_low,3
まどろっこしい,WB_high,0
まどろっこしい,WB_low,1
まま,WB_high,0
まま,WB_low,2
みたい,WB_high,3
みたい,WB_low,2
みなさま,WB_high,1
みなさま,WB_low,0
みに,WB_high,1
みに,WB_low,0
みんな,WB_high,24
みんな,WB_low,8
みんな元気,WB_high,1
みんな元気,WB_low,0
みんな頑張ってる,WB_high,1
みんな頑張ってる,WB_low,0
むかし,WB_high,1
むかし,WB_low,0
むくみ,WB_high,1
むくみ,WB_low,0
むちゃくちゃ,WB_high,2
むちゃくちゃ,WB_low,0
むつかしい,WB_high,1
むつかしい,WB_low,0
むなしく,WB_high,0
むなしく,WB_low,1
むなしさ,WB_high,0
むなしさ,WB_low,1
むむむ,WB_high,0
むむむ,WB_low,1
め,WB_high,2
め,WB_low,0
めちゃくちゃ,WB_high,12
めちゃくちゃ,WB_low,0
めんどくさい,WB_high,0
めんどくさい,WB_low,1
めんどくさかっ,WB_high,1
めんどくさかっ,WB_low,0
もっともっと,WB_high,0
もっともっと,WB_low,1
もの,WB_high,18
もの,WB_low,14
ものすごい,WB_high,1
ものすごい,WB_low,0
ものすごく,WB_high,4
ものすごく,WB_low,3
もみ,WB_high,1
もみ,WB_low,0
もれ,WB_high,0
もれ,WB_low,1
もん,WB_high,3
もん,WB_low,2
やすい,WB_high,3
やすい,WB_low,1
やすく,WB_high,4
やすく,WB_low,2
やつ,WB_high,1
やつ,WB_low,0
やばい,WB_high,0
やばい,WB_low,3
やむなし,WB_high,1
やむなし,WB_low,0
やむなしっ,WB_high,1
やむなしっ,WB_low,0
やめ,WB_high,1
やめ,WB_low,0
ややこしい,WB_high,0
ややこしい,WB_low,1
ややこしく,WB_high,0
ややこしく,WB_low,1
やりがい,WB_high,4
やりがい,WB_low,2
やりくり,WB_high,1
やりくり,WB_low,0
やりとり,WB_high,1
やりとり,WB_low,0
やり取り,WB_high,1
やり取り,WB_low,1
やり方,WB_high,0
やり方,WB_low,2
やり直し,WB_high,0
やり直し,WB_low,1
やる気,WB_high,7
やる気,WB_low,4
やろう,WB_high,2
やろう,WB_low,3
ゆう,WB_high,1
ゆう,WB_low,0
ゆえ,WB_high,0
ゆえ,WB_low,1
ゆき,WB_high,3
ゆき,WB_low,0
ゆとり,WB_high,2
ゆとり,WB_low,0
ゆみ,WB_high,1
ゆみ,WB_low,0
ゆるく,WB_high,1
ゆるく,WB_low,0
ょうじきかんべんしててほしい,WB_high,0
ょうじきかんべんしててほしい,WB_low,1
よい,WB_high,13
よい,WB_low,2
よう,WB_high,42
よう,WB_low,37
ようやく,WB_high,0
ようやく,WB_low,3
よう気,WB_high,0
よう気,WB_low,1
よかっ,WB_high,34
よかっ,WB_low,12
よく,WB_high,3
よく,WB_low,4
よけれ,WB_high,1
よけれ,WB_low,0
よし,WB_high,3
よし,WB_low,0
ら,WB_high,1
ら,WB_low,0
らい,WB_high,0
らい,WB_low,1
らく,WB_high,1
らく,WB_low,0
りし,WB_high,1
りし,WB_low,0
ろっと,WB_high,1
ろっと,WB_low,0
ろー,WB_high,1
ろー,WB_low,0
わからん,WB_high,0
わからん,WB_low,1
わが校,WB_high,1
わが校,WB_low,0
わく,WB_high,1
わく,WB_low,0
わけ,WB_high,4
わけ,WB_low,2
わさび,WB_high,1
わさび,WB_low,0
わせ,WB_high,1
わせ,WB_low,0
わたし,WB_high,0
わたし,WB_low,1
わり,WB_high,1
わり,WB_low,0
わるい,WB_high,0
わるい,WB_low,1
われら,WB_high,1
われら,WB_low,0
ん,WB_high,14
ん,WB_low,13
アイテム,WB_high,1
アイテム,WB_low,0
アイデア,WB_high,5
アイデア,WB_low,1
アイドリング,WB_high,0
アイドリング,WB_low,1
アイドル,WB_high,0
アイドル,WB_low,2
アウトプット,WB_high,1
アウトプット,WB_low,3
アカウント,WB_high,0
アカウント,WB_low,1
アクション,WB_high,5
アクション,WB_low,2
アクセス,WB_high,0
アクセス,WB_low,1
アサイン,WB_high,1
アサイン,WB_low,0
アサーティブ,WB_high,1
アサーティブ,WB_low,0
アタック,WB_high,0
アタック,WB_low,1
アテ,WB_high,0
アテ,WB_low,1
アテンド,WB_high,1
アテンド,WB_low,0
アドバイス,WB_high,5
アドバイス,WB_low,0
アナ,WB_high,1
アナ,WB_low,0
アバター,WB_high,1
